Typ,Gemeindename,AnzahlHardware
Stadt,Ladenburg,0
Stadt,Lahr/Schwarzwald,0
Stadt,Laichingen,0
Gemeinde,Langenargen,0
Stadt,Langenau,0
Gemeinde,Langenbrettach,0
Stadt,Langenburg,0
Gemeinde,Langenenslingen,0
Stadt,Lauchheim,0
Gemeinde,Lauchringen,0
Stadt,Lauda-Königshofen,0
Gemeinde,Laudenbach,0
Gemeinde,Lauf,0
Stadt,Laufenburg (Baden),0
Stadt,Lauffen am Neckar,0
Stadt,Laupheim,0
Gemeinde,Lautenbach,0
Gemeinde,Lauterach,0
Gemeinde,Lauterbach,0
Stadt,Lauterstein,0
Gemeinde,Lehrensteinsfeld,0
Gemeinde,Leibertingen,0
Stadt,Leimen,0
Stadt,Leinfelden-Echterdingen,0
Stadt,Leingarten,0
Gemeinde,Leinzell,0
Gemeinde,Lenningen,0
Gemeinde,Lenzkirch,0
Stadt,Leonberg,0
Gemeinde,Leutenbach,0
Stadt,Leutkirch im Allgäu,0
Stadt,Lichtenau,0
Gemeinde,Lichtenstein,0
Gemeinde,Lichtenwald,0
Gemeinde,Limbach,0
Gemeinde,Linkenheim-Hochstetten,0
Gemeinde,Lobbach,0
Gemeinde,Löchgau,0
Gemeinde,Loffenau,0
Stadt,Löffingen,0
Gemeinde,Lonsee,0
Stadt,Lorch,0
Stadt,Lörrach,0
Gemeinde,Loßburg,0
Gemeinde,Lottstetten,0
Stadt,Löwenstein,0
Stadt,Ludwigsburg,0
Gemeinde,Magstadt,0
Stadt,Mahlberg,0
Gemeinde,Mahlstetten,0
Gemeinde,Mainhardt,0
Gemeinde,Malsburg-Marzell,0
Gemeinde,Malsch,0
Gemeinde,Malsch,0
Gemeinde,Malterdingen,0
Stadt,Mannheim,0
Stadt,Marbach am Neckar,0
Gemeinde,March,0
Stadt,Markdorf,0
Stadt,Markgröningen,0
Gemeinde,Marxzell,0
Gemeinde,Maselheim,0
Gemeinde,Massenbachhausen,0
Gemeinde,Mauer,0
Stadt,Maulbronn,0
Gemeinde,Maulburg,0
Gemeinde,Meckenbeuren,0
Gemeinde,Meckesheim,0
Stadt,Meersburg,0
Gemeinde,Mehrstetten,0
Gemeinde,Meißenheim,0
Stadt,Mengen,0
Gemeinde,Merdingen,0
Gemeinde,Merklingen,0
Gemeinde,Merzhausen,0
Stadt,Meßkirch,0
Stadt,Meßstetten,0
Stadt,Metzingen,0
Gemeinde,Michelbach an der Bilz,0
Gemeinde,Michelfeld,0
Gemeinde,Mietingen,0
Gemeinde,Mittelbiberach,0
Stadt,Möckmühl,0
Gemeinde,Mögglingen,0
Gemeinde,Möglingen,0
Gemeinde,Mönchweiler,0
Gemeinde,Mönsheim,0
Gemeinde,Moos,0
Gemeinde,Moosburg,0
Stadt,Mosbach,0
Stadt,Mössingen,0
Gemeinde,Mötzingen,0
Gemeinde,Mudau,0
Gemeinde,Muggensturm,0
Stadt,Mühlacker,0
Gemeinde,Mühlenbach,0
Gemeinde,Mühlhausen,0
Gemeinde,Mühlhausen im Täle,0
Gemeinde,Mühlhausen-Ehingen,0
Stadt,Mühlheim an der Donau,0
Gemeinde,Mühlingen,0
Gemeinde,Mulfingen,0
Stadt,Müllheim,0
Gemeinde,Mundelsheim,0
Stadt,Munderkingen,0
Stadt,Münsingen,0
Gemeinde,Münstertal/Schwarzwald,0
Gemeinde,Murg,0
Gemeinde,Murr,0
Stadt,Murrhardt,0
Gemeinde,Mutlangen,0
Stadt,Nagold,0
Gemeinde,Nattheim,0
Stadt,Neckarbischofsheim,0
Stadt,Neckargemünd,0
Gemeinde,Neckargerach,0
Stadt,Neckarsulm,0
Gemeinde,Neckartailfingen,0
Gemeinde,Neckartenzlingen,0
Gemeinde,Neckarwestheim,0
Gemeinde,Neckarzimmern,0
Gemeinde,Neenstetten,0
Gemeinde,Nehren,0
Gemeinde,Neidenstein,0
Gemeinde,Neidlingen,0
Gemeinde,Nellingen,0
Gemeinde,Nerenstetten,0
Stadt,Neresheim,0
Stadt,Neubulach,0
Stadt,Neudenau,0
Stadt,Neuenbürg,0
Stadt,Neuenburg am Rhein,0
Stadt,Neuenstadt am Kocher,0
Stadt,Neuenstein,0
Stadt,Neuffen,0
Gemeinde,Neufra,0
Gemeinde,Neuhausen,0
Gemeinde,Neuhausen auf den Fildern,0
Gemeinde,Neuhausen ob Eck,0
Gemeinde,Neukirch,0
Gemeinde,Neuler,0
Gemeinde,Neulingen,0
Gemeinde,Neulußheim,0
Gemeinde,Neunkirchen,0
Gemeinde,Neuried,0
Gemeinde,Neustetten,0
Gemeinde,Neuweiler,0
Gemeinde,Niedereschach,0
Stadt,Niedernhall,0
Stadt,Niederstetten,0
Stadt,Niederstotzingen,0
Gemeinde,Niefern-Öschelbronn,0
Gemeinde,Nordheim,0
Gemeinde,Nordrach,0
Gemeinde,Notzingen,0
Gemeinde,Nufringen,0
Stadt,Nürtingen,0
Gemeinde,Nusplingen,0
Gemeinde,Nußloch,0
Gemeinde,Oberboihingen,0
Gemeinde,Oberderdingen,0
Gemeinde,Oberdischingen,0
Gemeinde,Obergröningen,0
Gemeinde,Oberharmersbach,0
Gemeinde,Oberhausen-Rheinhausen,0
Stadt,Oberkirch,0
Stadt,Oberkochen,0
Gemeinde,Obermarchtal,0
Stadt,Oberndorf am Neckar,0
Gemeinde,Obernheim,0
Gemeinde,Oberreichenbach,0
Gemeinde,Oberried,0
Stadt,Oberriexingen,0
Gemeinde,Oberrot,0
Gemeinde,Obersontheim,0
Gemeinde,Oberstadion,0
Gemeinde,Oberstenfeld,0
Gemeinde,Obersulm,0
Gemeinde,Oberteuringen,0
Gemeinde,Oberwolfach,0
Gemeinde,Obrigheim,0
Stadt,Ochsenhausen,0
Gemeinde,Oedheim,0
Gemeinde,Offenau,0
Stadt,Offenburg,0
Gemeinde,Ofterdingen,0
Gemeinde,Oftersheim,0
Gemeinde,Oggelshausen,0
Gemeinde,Ohlsbach,0
Gemeinde,Ohmden,0
Gemeinde,Öhningen,0
Stadt,Öhringen,0
Gemeinde,Ölbronn-Dürrn,0
Gemeinde,Öllingen,0
Gemeinde,Öpfingen,0
Stadt,Oppenau,0
Gemeinde,Oppenweiler,0
Gemeinde,Orsingen-Nenzingen,0
Gemeinde,Ortenberg,0
Gemeinde,Ostelsheim,0
Stadt,Osterburken,0
Stadt,Ostfildern,0
Gemeinde,Ostrach,0
Stadt,Östringen,0
Gemeinde,Ötigheim,0
Gemeinde,Ötisheim,0
Gemeinde,Ottenbach,0
Gemeinde,Ottenhöfen im Schwarzwald,0
Gemeinde,Ottersweier,0
Stadt,Owen,0
Gemeinde,Owingen,0
Gemeinde,Pfaffenhofen,0
Gemeinde,Pfaffenweiler,0
Gemeinde,Pfalzgrafenweiler,0
Gemeinde,Pfedelbach,0
Gemeinde,Pfinztal,0
Stadt,Pforzheim,0
Gemeinde,Pfronstetten,0
Stadt,Pfullendorf,0
Stadt,Pfullingen,0
Stadt,Philippsburg,0
Gemeinde,Plankstadt,0
Gemeinde,Pleidelsheim,0
Gemeinde,Pliezhausen,0
Stadt,Plochingen,0
Gemeinde,Plüderhausen,0
Stadt,Radolfzell am Bodensee,0
Gemeinde,Rainau,0
Gemeinde,Rammingen,0
Gemeinde,Rangendingen,0
Stadt,Rastatt,0
Gemeinde,Ratshausen,0
Stadt,Rauenberg,0
Stadt,Ravensburg,0
Stadt,Ravenstein,0
Gemeinde,Rechberghausen,0
Gemeinde,Rechtenstein,0
Gemeinde,Reichartshausen,0
Gemeinde,Reichenau,0
Gemeinde,Reichenbach am Heuberg,0
Gemeinde,Reichenbach an der Fils,0
Gemeinde,Reilingen,0
Gemeinde,Remchingen,0
Stadt,Remseck am Neckar,0
Gemeinde,Remshalden,0
Stadt,Renchen,0
Stadt,Renningen,0
Gemeinde,Renquishausen,0
Gemeinde,Reute,0
Stadt,Reutlingen,0
Gemeindefreies Gebiet,Rheinau,0
Stadt,Rheinau,0
Stadt,Rheinfelden (Baden),0
Gemeinde,Rheinhausen,0
Gemeinde,Rheinmünster,0
Stadt,Rheinstetten,0
Gemeinde,Rickenbach,0
Gemeinde,Riederich,0
Gemeinde,Riedhausen,0
Stadt,Riedlingen,0
Gemeinde,Riegel am Kaiserstuhl,0
Gemeinde,Rielasingen-Worblingen,0
Gemeinde,Riesbürg,0
Gemeinde,Rietheim-Weilheim,0
Gemeinde,Ringsheim,0
Gemeinde,Rohrdorf,0
Gemeinde,Roigheim,0
Gemeinde,Römerstein,0
Gemeinde,Rosenberg,0
Gemeinde,Rosenberg,0
Stadt,Rosenfeld,0
Gemeinde,Rosengarten,0
Gemeinde,Rot am See,0
Gemeinde,Rot an der Rot,0
Gemeinde,Rottenacker,0
Stadt,Rottenburg am Neckar,0
Stadt,Rottweil,0
Gemeinde,Rudersberg,0
Gemeinde,Rümmingen,0
Gemeinde,Ruppertshofen,0
Gemeinde,Rust,0
Stadt,Rutesheim,0
Stadt,Sachsenheim,0
Gemeinde,Salach,0
Gemeinde,Salem,0
Gemeinde,Sandhausen,0
Gemeinde,Sasbach,0
Gemeinde,Sasbach am Kaiserstuhl,0
Gemeinde,Sasbachwalden,0
Gemeinde,Satteldorf,0
Gemeinde,Sauldorf,0
Gemeinde,Schallbach,0
Gemeinde,Schallstadt,0
Gemeinde,Schechingen,0
Stadt,Scheer,0
Gemeinde,Schefflenz,0
Stadt,Schelklingen,0
Gemeinde,Schemmerhofen,0
Gemeinde,Schenkenzell,0
Stadt,Schiltach,0
Gemeinde,Schlaitdorf,0
Gemeinde,Schlat,0
Gemeinde,Schliengen,0
Gemeinde,Schlier,0
Gemeinde,Schlierbach,0
Gemeinde,Schluchsee,0
Gemeinde,Schnürpflingen,0
Stadt,Schömberg,0
Gemeinde,Schömberg,0
Gemeinde,Schonach im Schwarzwald,0
Gemeinde,Schönaich,0
Stadt,Schönau,0
Stadt,Schönau im Schwarzwald,0
Gemeinde,Schönbrunn,0
Gemeinde,Schönenberg,0
Gemeinde,Schöntal,0
Gemeinde,Schönwald im Schwarzwald,0
Stadt,Schopfheim,0
Gemeinde,Schopfloch,0
Stadt,Schorndorf,0
